CAM	participantCAM	id	text	value	comment	date	x_pos	y_pos	predefinedConcept	isDraggable	isDeletable	isTextChangeable	isActive	text_summarized
67d88f73-7672-4027-98f5-6463b4edc1f7	noID	979727d1-1c72-40a6-8af8-9bd570cf97c0	sozialer Assistenzroboter	0		2023-12-11T10:06:04Z	650	400	TRUE	0	0	0	TRUE	Soziale Assistenzroboter_neutral
67d88f73-7672-4027-98f5-6463b4edc1f7	noID	f984b2a7-1be8-4a07-867b-44efcf08ea3a	Nachteile	-1		2023-12-11T10:06:04Z	450	400	TRUE	0	0	0	TRUE	Nachteile_negative
67d88f73-7672-4027-98f5-6463b4edc1f7	noID	ea0ec36e-df11-4dd7-9408-06f32380cc34	Vorteile	1		2023-12-11T10:06:04Z	850	400	TRUE	0	0	0	TRUE	Vorteile_positive
67d88f73-7672-4027-98f5-6463b4edc1f7	noID	a901a80e-45f6-40f5-a1bd-fe676aa389a2	strukturierte Therapieabläufe	1		2023-12-11T10:06:34Z	1126	470	FALSE	1	1	1	TRUE	strukturierte Therapieabläufe
67d88f73-7672-4027-98f5-6463b4edc1f7	noID	48c64a31-436d-408f-a3ed-ea5ecd6ef786	günstige Arbeitskräfte	2		2023-12-11T10:07:12Z	1107	315	FALSE	1	1	1	TRUE	günstige Arbeitskraft_positive
67d88f73-7672-4027-98f5-6463b4edc1f7	noID	a155c36e-ac86-43d1-acd2-299f81bd4935	Ständige Verfügbarkeit (zeitlich)	3		2023-12-11T10:07:38Z	923	200	FALSE	1	1	1	TRUE	Ständige Verfügbarkeit (zeitlich)
67d88f73-7672-4027-98f5-6463b4edc1f7	noID	5ded478e-670d-476b-a6e6-5b07a7e8281a	förderung sozialer Interaktion	3		2023-12-11T10:08:15Z	887	580	FALSE	1	1	1	TRUE	förderung sozialer Interaktion_positive
67d88f73-7672-4027-98f5-6463b4edc1f7	noID	e3404d4b-5979-46b9-82b2-72e9ff5575f1	bei sozialer Isolation	2		2023-12-11T10:09:31Z	843	702	FALSE	1	1	1	TRUE	bei sozialer Isolation
67d88f73-7672-4027-98f5-6463b4edc1f7	noID	a74d51d0-7470-4d6f-8f69-eed2fd8dcc9b	bei speziellen Bedürfnissen	1		2023-12-11T10:10:00Z	966	712	FALSE	1	1	1	TRUE	bei speziellen Bedürfnissen
67d88f73-7672-4027-98f5-6463b4edc1f7	noID	d0f10a24-24f0-461e-96f8-55b4f0c0b4da	keine menschliche Nähe	-3		2023-12-11T10:10:27Z	356	254	FALSE	1	1	1	TRUE	keine menschliche Nähe
